channelTitle,videoId,videoTitle,yogaSubject,YogaChallenge,release_date,release_time,duration,viewCount,likeCount,commentCount,defaultLAudioLanguage,videoCategoryLabel
Yoga with Kassandra,T2gMDDZTv9k,Yin Yoga for Stress & Anxiety Relief - Yoga for Beginners,Beginner Yoga,FALSE,2018-08-30,11:45:01,40:57,249360,5764,520,en,Howto & Style
Yoga with Kassandra,_Bla7UwiTA4,10 min Core Strength Yoga for Abs,Vinyasa Flow Yoga,FALSE,2018-08-23,12:30:03,10:06,361869,6776,193,en,Howto & Style
Yoga with Kassandra,n_3R-kk48VM,I wrote a book! Yin Yoga by Kassandra Reinhardt,Yin Yoga,FALSE,2018-08-16,13:14:22,03:02,8538,239,53,en,Howto & Style
Yoga with Kassandra,5TeqNmHyilA,30 min Beginner Yoga for Hip Strength & Stability,Beginner Yoga,FALSE,2018-08-09,11:34:29,36:09,69936,2081,103,en,Howto & Style
Yoga with Kassandra,3YOYyQ8cb5c,Yin Yoga Without Props - Full Body Yin Yoga for Beginners,Beginner Yoga,FALSE,2018-08-02,12:00:00,39:35,1800268,26465,1120,en,Howto & Style
Yoga with Kassandra,qfZ-s0PCsFo,Lessons Learned From My Injury,Other,FALSE,2018-07-31,12:19:43,22:32,6636,288,63,en,Howto & Style
Yoga with Kassandra,fQJMNYSgdZQ,30 min Super Slow Yoga Flow for Intuition,Vinyasa Flow Yoga,FALSE,2018-07-26,12:00:31,34:26,42707,1713,197,en,Howto & Style
Yoga with Kassandra,4oU2DYKZZjY,1 Hour Vin to Yin for Inner & Outer Strength,Yin Yoga,FALSE,2018-07-19,12:00:00,57:49,124372,2995,302,en,Howto & Style
Yoga with Kassandra,XvqEKsPFGWk,"What I Eat In A Day (ft. Luna, Cleo & Kitkat!)",Other,TRUE,2018-07-16,15:45:28,09:41,16597,494,87,en,Howto & Style
Yoga with Kassandra,Uvg06fjwHj0,20 min Bedtime Yoga to Fall Asleep Fast,Evening/Bedtime Yoga,FALSE,2018-07-12,12:00:02,19:44,106189,2056,56,en,Howto & Style
Yoga with Kassandra,vw0Ize_42Jc,10 min Guided Relaxation with Affirmations - Crown Chakra,Chakra Yoga,FALSE,2018-07-05,12:00:05,12:42,86421,1786,65,en,Howto & Style
Yoga with Kassandra,yOXqMCAJ2-M,30 min Third Eye Chakra Yin Yoga & Affirmations for Intuition and Insight,Yin Yoga,FALSE,2018-06-28,12:00:06,27:32,78936,2364,190,en,Howto & Style
Yoga with Kassandra,fYaUlFIPV1U,Throat Chakra Yin Yoga & Affirmations for Clear Communication,Yin Yoga,FALSE,2018-06-21,12:00:03,35:00,94353,2872,201,en,Howto & Style
Yoga with Kassandra,NrCzYOnguMk,30 min Summer Solstice Vibrant Yoga Flow,Zodiac yoga,FALSE,2018-06-14,12:00:02,36:21,80729,2672,282,en,Howto & Style
Yoga with Kassandra,Kup_MmqZb5Q,Beginner Yoga for Knee Strength,Beginner Yoga,FALSE,2018-06-07,13:56:56,25:11,195216,4081,214,en,Howto & Style
Yoga with Kassandra,Zh9lxSP2Ivg,30 min Beginner to Intermediate Yoga - Evolve Your Yoga Practice!,Intermediate Yoga,FALSE,2018-05-31,15:17:37,30:26,97575,2466,150,en,Howto & Style
Yoga with Kassandra,ryWOpZOEkWo,30 min Heart Chakra Yin Yoga for Love & Compassion with Affirmations,Yin Yoga,FALSE,2018-05-24,11:51:08,28:25,145986,4004,332,en,Howto & Style
Yoga with Kassandra,fAIodmy5BEU,Yin Yoga for Beginners - Full Body Stretch Yoga,Beginner Yoga,FALSE,2018-05-17,14:08:58,36:09,201982,3337,118,en,Howto & Style
Yoga with Kassandra,A7P3JPFxUjo,30 min Yoga Stretches for Injured Knees,Vinyasa Flow Yoga,FALSE,2018-05-10,13:38:23,31:04,199517,3482,183,en,Howto & Style
Yoga with Kassandra,ktVMP6cFEWU,TMI TAG - Storytime & Luna Cameo,Other,FALSE,2018-05-07,13:43:18,18:18,4667,160,33,en,Howto & Style
Yoga with Kassandra,MX1XOMdOYuE,30 min Yoga Stretch - Unwind After Work Yoga,Vinyasa Flow Yoga,FALSE,2018-05-03,13:22:23,26:47,383060,12262,408,en,Howto & Style
Yoga with Kassandra,tUgpcocd5MU,30 min Minimal Cues Yoga - Intermediate Full Body Vinyasa Yoga,Intermediate Yoga,FALSE,2018-04-26,12:15:36,36:44,157179,4257,342,en,Howto & Style
Yoga with Kassandra,4bTNVSGP3BE,30 min Yoga With Blocks - Evolve Your Practice - Intermediate Flow,Intermediate Yoga,FALSE,2018-04-12,15:21:22,33:49,54819,1724,168,en,Howto & Style
Yoga with Kassandra,1l3vy9TipBE,ASK ME ANYTHING,Other,FALSE,2018-04-11,19:50:40,17:17,8498,188,41,en-US,Howto & Style
Yoga with Kassandra,ytbmnTXaf2Q,iHerb Haul - Favorite Diet & Beauty Products,Other,FALSE,2018-04-09,14:12:27,16:03,14322,245,60,en,Howto & Style
Yoga with Kassandra,Sm_aiqXvxDg,Injury Update,Other,FALSE,2018-04-07,14:53:19,05:08,9212,406,219,en,Howto & Style
Yoga with Kassandra,ltor8KKF7oU,"Yin Yoga for Extremities - Feet, Hands & Neck",Yin Yoga,FALSE,2018-04-05,13:31:31,16:59,127528,2797,87,en,Howto & Style
Yoga with Kassandra,xcrt2uIMJ5A,A 30 min Yoga Binds Intermediate Vinyasa Flow,Intermediate Yoga,FALSE,2018-03-29,12:31:43,35:12,53823,1417,117,en,Howto & Style
Yoga with Kassandra,dcCIuBMowLg,Solar Plexus Chakra Yin Yoga & Affirmations for Confidence & Self-Esteem,Yin Yoga,FALSE,2018-03-22,12:51:25,41:52,138208,3879,354,en,Howto & Style
Yoga with Kassandra,viuquQx1juI,30 min Spring Equinox Blossoming Yoga Flow,Vinyasa Flow Yoga,FALSE,2018-03-15,12:45:39,34:58,105438,3616,283,en,Howto & Style
Yoga with Kassandra,FhcZuQRC-mI,Top 5 Hip Openers - Best Yoga Poses for Hip Flexibility,Vinyasa Flow Yoga,FALSE,2018-03-12,13:29:29,13:38,144026,2761,84,en,Howto & Style
Yoga with Kassandra,k6zuTsyqZbc,My Home Yoga Practice for Strength & Flexibility,Vinyasa Flow Yoga,FALSE,2018-03-08,14:18:44,34:29,200248,4055,173,en,Howto & Style
Yoga with Kassandra,SO_oahIGHsE,30 min Yin Yoga for Lower Back Pain & Sciatica Pain,Yin Yoga,FALSE,2018-03-01,14:21:19,29:38,411866,7256,257,en,Howto & Style
Yoga with Kassandra,gLtgljV9Di0,How To Flip Your Grip - Yoga Tutorial,Tutorial,FALSE,2018-02-26,14:43:31,07:57,69663,657,30,en,Howto & Style
Yoga with Kassandra,bHDdKDPFUmE,Yoga for Sore Muscles - Easy Stretches for Stiffness,Vinyasa Flow Yoga,FALSE,2018-02-15,21:44:04,29:00,645725,12952,427,en-US,Howto & Style
Yoga with Kassandra,aCz00teNNlA,Vin to Yin - 1 Hour Yoga for Core Strength & Flexibility,Yin Yoga,FALSE,2018-02-08,15:40:30,54:49,229357,4739,432,en,Howto & Style
Yoga with Kassandra,HRonCpTA5yw,Sacral Chakra Yin Yoga & Affirmations for Creativity & Sensuality,Yin Yoga,FALSE,2018-02-01,14:01:19,57:17,218905,4702,265,en,Howto & Style
Yoga with Kassandra,EBRSdTg2Tzg,30 min Arm Balance Yoga Flow - Get Into Flying Splits,Vinyasa Flow Yoga,FALSE,2018-01-25,14:57:37,36:37,38858,870,55,en,Howto & Style
